#Mode: 20
#              1                2                3                4                5                6                7                8                9               10               11               12               13 
#      Time (fs)          Sin 1 0          Sin 2 0          Sin 3 0         Tri 1 -1         Tri 2 -1         Tri 3 -1          Tri 1 0          Tri 2 0          Tri 3 0          Tri 1 1          Tri 2 1          Tri 3 1 
    16.500000000      0.000000000      0.954012439      0.045795377      0.000042189      0.000037745      0.000010455      0.000000000      0.000000000      0.000011406      0.000042189      0.000037745      0.000010455 
    17.000000000      0.000000000      0.953783815      0.046015069      0.000043193      0.000042254      0.000010432      0.000000000      0.000000000      0.000009359      0.000043193      0.000042254      0.000010432 
    17.500000000      0.000000000      0.953179174      0.046611103      0.000042853      0.000048005      0.000009711      0.000000000      0.000000000      0.000008584      0.000042853      0.000048005      0.000009711 
    18.000000000      0.000000000      0.952100071      0.047683339      0.000041294      0.000053968      0.000008458      0.000000000      0.000000000      0.000009151      0.000041294      0.000053968      0.000008458 
    18.500000000      0.000000000      0.951320883      0.048458301      0.000038811      0.000059367      0.000006832      0.000000000      0.000000000      0.000010797      0.000038811      0.000059367      0.000006832 
    19.000000000      0.000000000      0.950424442      0.049351814      0.000035772      0.000064392      0.000005160      0.000000000      0.000000000      0.000013095      0.000035772      0.000064392      0.000005160 
    19.500000000      0.000000000      0.949299291      0.050471758      0.000032418      0.000070523      0.000003735      0.000000000      0.000000000      0.000015597      0.000032418      0.000070523      0.000003735 
    20.000000000      0.000000000      0.948352929      0.051405477      0.000028769      0.000080273      0.000002777      0.000000000      0.000000000      0.000017956      0.000028769      0.000080273      0.000002777 
    20.500000000      0.000000000      0.947418334      0.052314747      0.000024618      0.000096453      0.000002391      0.000000000      0.000000000      0.000019995      0.000024618      0.000096453      0.000002391 
    21.000000000      0.000000000      0.946637554      0.053052632      0.000019883      0.000121575      0.000002571      0.000000000      0.000000000      0.000021757      0.000019883      0.000121575      0.000002571 
    21.500000000      0.000000000      0.946227100      0.053413472      0.000014900      0.000150146      0.000003171      0.000000000      0.000000000      0.000022993      0.000014900      0.000150146      0.000003171 
    22.000000000      0.000000000      0.946227754      0.053341391      0.000010713      0.000188622      0.000004009      0.000000000      0.000000000      0.000024168      0.000010713      0.000188622      0.000004009 
    22.500000000      0.000000000      0.946694990      0.052779943      0.000008626      0.000236194      0.000004879      0.000000000      0.000000000      0.000025670      0.000008626      0.000236194      0.000004879 
    23.000000000      0.000000000      0.947679903      0.051682914      0.000009129      0.000289985      0.000005601      0.000000000      0.000000000      0.000027753      0.000009129      0.000289985      0.000005601 
    23.500000000      0.000000000      0.949185973      0.050038742      0.000011392      0.000354976      0.000006016      0.000000000      0.000000000      0.000030517      0.000011392      0.000354976      0.000006016 
    24.000000000      0.000000000      0.951148561      0.047898187      0.000013272      0.000439528      0.000006077      0.000000000      0.000000000      0.000035499      0.000013272      0.000439528      0.000006077 
    24.500000000      0.000000000      0.953585390      0.045317940      0.000011910      0.000511381      0.000005920      0.000000000      0.000000000      0.000038247      0.000011910      0.000511381      0.000005920 
    25.000000000      0.000000000      0.956132543      0.042575309      0.000008536      0.000610330      0.000005254      0.000000000      0.000000000      0.000043910      0.000008536      0.000610330      0.000005254 
    25.500000000      0.000000000      0.958595745      0.039893364      0.000005771      0.000720022      0.000004364      0.000000000      0.000000000      0.000050575      0.000005771      0.000720022      0.000004364 
    26.000000000      0.000000000      0.960734762      0.037521557      0.000005912      0.000833802      0.000003385      0.000000000      0.000000000      0.000057484      0.000005912      0.000833802      0.000003385 
    26.500000000      0.000000000      0.962395840      0.035624049      0.000007860      0.000947417      0.000002459      0.000000000      0.000000000      0.000064639      0.000007860      0.000947417      0.000002459 
    27.000000000      0.000000000      0.963580016      0.034212955      0.000008079      0.001057858      0.000001710      0.000000000      0.000000000      0.000071736      0.000008079      0.001057858      0.000001710 
    27.500000000      0.000000000      0.964451518      0.033137932      0.000005228      0.001159565      0.000001231      0.000000000      0.000000000      0.000078502      0.000005228      0.001159565      0.000001231 
    28.000000000      0.000000000      0.965270952      0.032150122      0.000002457      0.001243578      0.000001072      0.000000000      0.000000000      0.000084713      0.000002457      0.001243578      0.000001072 
    28.500000000      0.000000000      0.966272561      0.031024413      0.000003002      0.001302178      0.000001231      0.000000000      0.000000000      0.000090205      0.000003002      0.001302178      0.000001231 
    29.000000000      0.000000000      0.967544863      0.029681546      0.000005057      0.001332725      0.000001658      0.000000000      0.000000000      0.000094710      0.000005057      0.001332725      0.000001658 
    29.500000000      0.000000000      0.968975200      0.028236382      0.000004866      0.001338046      0.000002257      0.000000000      0.000000000      0.000098081      0.000004866      0.001338046      0.000002257 
    30.000000000      0.000000000      0.970303966      0.026945736      0.000003221      0.001318939      0.000002894      0.000000000      0.000000000      0.000100190      0.000003221      0.001318939      0.000002894 
    30.500000000      0.000000000      0.971229244      0.026101107      0.000003338      0.001277534      0.000003431      0.000000000      0.000000000      0.000101045      0.000003338      0.001277534      0.000003431 
    31.000000000      0.000000000      0.971541564      0.025898697      0.000004448      0.001221253      0.000003756      0.000000000      0.000000000      0.000100825      0.000004448      0.001221253      0.000003756 
    31.500000000      0.000000000      0.971262030      0.026299312      0.000003916      0.001161658      0.000003810      0.000000000      0.000000000      0.000099889      0.000003916      0.001161658      0.000003810 
