           1  -26.8989223263713     
           2  -26.6373404006688     
           3  -26.4649866578690     
           4  -26.2479695937398     
           5  -25.8529787283140     
           6  -21.6183322500597     
           7  -21.4374743112549     
           8  -20.6801202708684     
           9  -19.8306450637424     
          10  -19.2894363037202     
          11  -18.5523904572943     
          12  -17.4499212470341     
          13  -15.8725512275412     
          14  -14.2521162540999     
          15  -13.6110067809997     
          16  -8.32136429745615     
          17  -7.88792174974642     
          18  -4.72126276449140     
          19   4.56223724507046     
          20   5.96749513009285     
          21   7.20576338309012     
          22   9.12035579935194     
          23   11.2561304697016     
          24   12.8324887803527     
          25   15.1654778702147     
          26   15.8512552916613     
          27   21.0677748348275     
          28   23.7029060138767     
          29   24.4000180256744     
          30   27.7906649065850     
