   15.00000    
           1  -27.1754980076516     
           2  -26.7421831342248     
           3  -26.6670194576161     
           4  -26.4205216172174     
           5  -26.2694476727217     
           6  -21.8944464329011     
           7  -21.4743897903622     
           8  -20.9008197618204     
           9  -19.8838098613563     
          10  -19.6468808864662     
          11  -17.5672519138770     
          12  -17.5565004092015     
          13  -17.4454608726383     
          14  -14.4893875951821     
          15  -14.1998615762696     
          16  -7.41686985044618     
          17  -7.04570580783776     
          18  -2.83040118894629     
          19   6.72746247308489     
          20   7.80508081162723     
          21   10.1213564733816     
          22   10.6178463683000     
          23   11.8817460150401     
          24   14.2603114734964     
          25   19.8370512923314     
          26   22.0068369881633     
          27   24.0442918530788     
          28   25.6919610954179     
          29   27.4931882850937     
          30   30.1270464142169     
