# MULLIKEN CHARGES of excited state S 1
#  Natoms =   6
# Atom        netCharge
#=========================================
    1      -0.13826477
    2      -0.15231813
    3       0.33645083
    4       0.31175582
    5       0.31062053
    6       0.33175571
