0.0   -5.26946082   -5.05605758  -6.34965504   -6.17963680
5.0   -5.26904428   -5.05648628  -6.40710937   -6.15912131
10.0   -5.26779596   -5.05773691  -6.40573572   -6.16024693
15.0   -5.26571977   -5.05973989  -6.40330606   -6.16234033
20.0   -5.26282256   -5.06239183  -6.39939613   -6.16599488
25.0   -5.25911456   -5.06559270  -6.39203976   -6.17361835
30.0   -5.25461011   -5.06924659  -6.37283287   -6.19492817
35.0   -5.24932866   -5.07322597  -6.35906683   -6.21229229
40.0   -5.24329625   -5.07740987  -6.34934462   -6.22569550
45.0   -5.23654752   -5.08172268  -6.34097104   -6.23754453
50.0   -5.22912888   -5.08610057  -6.33337864   -6.24831360
55.0   -5.22110293   -5.09056939  -6.32644476   -6.25808187
60.0   -5.21255587   -5.09510508  -6.32018952   -6.26680649
65.0   -5.20360959   -5.09986629  -6.31468572   -6.27440302
70.0   -5.19444355   -5.10506923  -6.31002319   -6.28077669
75.0   -5.18533806   -5.11106771  -6.30629026   -6.28583817
80.0   -5.17677263   -5.11870873  -6.30356417   -6.28951128
85.0   -5.16970187   -5.12894688  -6.30190387   -6.29173882
90.0   -5.16645458   -5.13790037  -6.30134619   -6.29248540
95.0   -5.16970187   -5.12894688  -6.30190387   -6.29173882
100.0   -5.17677263   -5.11870873  -6.30356417   -6.28951128
105.0   -5.18533806   -5.11106771  -6.30629026   -6.28583817
110.0   -5.19444355   -5.10506923  -6.31002319   -6.28077669
115.0   -5.20360959   -5.09986629  -6.31468572   -6.27440302
120.0   -5.21255587   -5.09510508  -6.32018952   -6.26680649
125.0   -5.22110293   -5.09056939  -6.32644476   -6.25808187
130.0   -5.22912888   -5.08610057  -6.33337864   -6.24831360
135.0   -5.23654752   -5.08172268  -6.34097104   -6.23754453
140.0   -5.24329625   -5.07740987  -6.34934462   -6.22569550
145.0   -5.24932866   -5.07322597  -6.35906683   -6.21229229
150.0   -5.25461011   -5.06924659  -6.37283287   -6.19492817
155.0   -5.25911456   -5.06559270  -6.39203976   -6.17361835
160.0   -5.26282256   -5.06239183  -6.39939613   -6.16599488
165.0   -5.26571977   -5.05973989  -6.40330606   -6.16234033
170.0   -5.26779596   -5.05773691  -6.40573572   -6.16024693
175.0   -5.26904428   -5.05648628  -6.40710937   -6.15912131
