    100        2.08580       -6.42525       -4.33945
    200        6.61125      -10.72700       -4.11575
    300       10.05007      -13.90283       -3.85276
    400       10.84870      -14.59778       -3.74909
    500       10.79076      -14.49222       -3.70146
    600       12.14317      -15.66328       -3.52011
    700       14.51038      -17.87254       -3.36215
    800       15.74049      -18.94364       -3.20315
    900       14.24610      -17.35081       -3.10471
   1000       10.88025      -13.93732       -3.05707
   1100        8.07161      -11.12042       -3.04882
   1200        7.60818      -10.68036       -3.07217
   1300        9.16761      -12.29726       -3.12966
   1400       10.82058      -14.04093       -3.22035
   1500       10.94369      -14.28948       -3.34579
   1600        9.91710      -13.37045       -3.45335
   1700        9.61039      -13.16989       -3.55950
   1800       11.12405      -14.84218       -3.71813
   1900       13.35585      -17.12732       -3.77146
   2000       13.69911      -17.47521       -3.77610
   2100       11.36785      -15.06267       -3.69482
   2200        8.48030      -12.06069       -3.58040
   2300        7.94346      -11.38068       -3.43723
   2400       10.14771      -13.42377       -3.27606
   2500       12.66212      -15.82841       -3.16629
   2600       13.41339      -16.46855       -3.05516
   2700       12.87482      -15.88436       -3.00954
   2800       13.26280      -16.24566       -2.98286
   2900       15.38301      -18.39260       -3.00959
   3000       17.66590      -20.71576       -3.04986
   3100       17.87599      -20.98801       -3.11202
   3200       15.58341      -18.74943       -3.16602
   3300       12.37853      -15.61062       -3.23209
   3400       10.29862      -13.57994       -3.28132
   3500       10.07784      -13.37515       -3.29731
