    100        5.14514        0.80569
    200        4.92168        0.80593
    300        4.66066        0.80791
    400        4.56029        0.81121
    500        4.51126        0.80980
    600        4.32906        0.80895
    700        4.17081        0.80866
    800        4.01217        0.80902
    900        3.91396        0.80924
   1000        3.86658        0.80951
   1100        3.85802        0.80921
   1200        3.88141        0.80924
   1300        3.93924        0.80959
   1400        4.02934        0.80899
   1500        4.15601        0.81022
   1600        4.26226        0.80891
   1700        4.37089        0.81138
   1800        4.52938        0.81125
   1900        4.58183        0.81037
   2000        4.58682        0.81072
   2100        4.50597        0.81116
   2200        4.39160        0.81121
   2300        4.24794        0.81072
   2400        4.08765        0.81159
   2500        3.97763        0.81134
   2600        3.86684        0.81168
   2700        3.82139        0.81185
   2800        3.79479        0.81192
   2900        3.82180        0.81222
   3000        3.86178        0.81191
   3100        3.92380        0.81178
   3200        3.97785        0.81183
   3300        4.04437        0.81228
   3400        4.09333        0.81201
   3500        4.10951        0.81219
