# k =  0.00000000E+00  0.00000000E+00  0.00000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
      76 -0.11243621E+02 -0.81333842E+01  0.31102372E+01  0.34281905E+01
      77 -0.11256826E+02 -0.81382550E+01  0.31185710E+01  0.34281905E+01
      78 -0.11272919E+02 -0.81452732E+01  0.31276453E+01  0.34281905E+01
      79 -0.11282900E+02 -0.81496331E+01  0.31332666E+01  0.34281905E+01
      80 -0.11291945E+02 -0.81537374E+01  0.31382078E+01  0.34281905E+01
      81 -0.11301874E+02 -0.81577642E+01  0.31441097E+01  0.34281905E+01
      82 -0.11309570E+02 -0.81619459E+01  0.31476244E+01  0.34281905E+01
      83 -0.11321337E+02 -0.81662742E+01  0.31550629E+01  0.34281905E+01
      84 -0.11332740E+02 -0.81704927E+01  0.31622470E+01  0.34281905E+01
      85 -0.11338591E+02 -0.81732896E+01  0.31653009E+01  0.34281905E+01
      86 -0.11345839E+02 -0.81770939E+01  0.31687451E+01  0.34281905E+01
      87 -0.11355334E+02 -0.81803478E+01  0.31749858E+01  0.34281905E+01
      88 -0.11363481E+02 -0.81840334E+01  0.31794474E+01  0.34281905E+01
      89 -0.11369997E+02 -0.81861797E+01  0.31838172E+01  0.34281905E+01
      90 -0.11380573E+02 -0.81907191E+01  0.31898543E+01  0.34281905E+01
      91 -0.11386396E+02 -0.81933369E+01  0.31930589E+01  0.34281905E+01
      92 -0.11395818E+02 -0.81974282E+01  0.31983897E+01  0.34281905E+01
      93 -0.11401339E+02 -0.81998874E+01  0.32014516E+01  0.34281905E+01
      94 -0.11408062E+02 -0.82028414E+01  0.32052205E+01  0.34281905E+01
      95 -0.11415527E+02 -0.82059003E+01  0.32096264E+01  0.34281905E+01
      96 -0.11419602E+02 -0.82086309E+01  0.32109715E+01  0.34281905E+01
      97 -0.11427746E+02 -0.82121921E+01  0.32155540E+01  0.34281905E+01
      98 -0.11433519E+02 -0.82143630E+01  0.32191555E+01  0.34281905E+01
      99 -0.11437377E+02 -0.82156860E+01  0.32216914E+01  0.34281905E+01
     100 -0.11443756E+02 -0.82180277E+01  0.32257283E+01  0.34281905E+01
     101 -0.11448849E+02 -0.82199759E+01  0.32288727E+01  0.34281905E+01
     102 -0.11455045E+02 -0.82232056E+01  0.32318394E+01  0.34281905E+01
     103 -0.11461412E+02 -0.82253713E+01  0.32360411E+01  0.34281905E+01
     104 -0.11465874E+02 -0.82271324E+01  0.32387420E+01  0.34281905E+01
     105 -0.11472672E+02 -0.82302327E+01  0.32424392E+01  0.34281905E+01
     106 -0.11477302E+02 -0.82322193E+01  0.32450829E+01  0.34281905E+01
     107 -0.11481701E+02 -0.82337884E+01  0.32479130E+01  0.34281905E+01
     108 -0.11485939E+02 -0.82355396E+01  0.32503995E+01  0.34281905E+01
     109 -0.11491224E+02 -0.82374290E+01  0.32537951E+01  0.34281905E+01
     110 -0.11496737E+02 -0.82393705E+01  0.32573660E+01  0.34281905E+01
