#Mode: 20
#              1                2                3                4                5                6                7                8                9               10               11               12               13 
#      Time (fs)          Sin 1 0          Sin 2 0          Sin 3 0         Tri 1 -1         Tri 2 -1         Tri 3 -1          Tri 1 0          Tri 2 0          Tri 3 0          Tri 1 1          Tri 2 1          Tri 3 1 
    16.500000000      0.000000000      0.332249285      0.666379100      0.000329542      0.000021525      0.000331652      0.000000000      0.000006178      0.000000000      0.000329540      0.000021526      0.000331651 
    17.000000000      0.000000000      0.321947947      0.676629142      0.000336983      0.000025368      0.000345668      0.000000000      0.000006876      0.000000000      0.000336981      0.000025369      0.000345667 
    17.500000000      0.000000000      0.316033950      0.682499294      0.000344690      0.000028813      0.000356044      0.000000000      0.000007664      0.000000000      0.000344687      0.000028814      0.000356044 
    18.000000000      0.000000000      0.314602267      0.683900587      0.000355825      0.000031283      0.000357338      0.000000000      0.000008257      0.000000000      0.000355822      0.000031283      0.000357338 
    18.500000000      0.000000000      0.315461326      0.683029878      0.000370636      0.000032530      0.000347055      0.000000000      0.000008357      0.000000000      0.000370633      0.000032530      0.000347055 
    19.000000000      0.000000000      0.317259416      0.681249794      0.000381850      0.000032696      0.000326921      0.000000000      0.000007859      0.000000000      0.000381848      0.000032695      0.000326922 
    19.500000000      0.000000000      0.319771485      0.678736087      0.000406465      0.000032241      0.000304047      0.000000000      0.000006924      0.000000000      0.000406462      0.000032241      0.000304049 
    20.000000000      0.000000000      0.322588227      0.675921914      0.000426440      0.000031816      0.000283736      0.000000000      0.000005877      0.000000000      0.000426437      0.000031816      0.000283737 
    20.500000000      0.000000000      0.325513526      0.672986515      0.000444858      0.000032049      0.000270550      0.000000000      0.000005048      0.000000000      0.000444855      0.000032049      0.000270551 
    21.000000000      0.000000000      0.328227771      0.670210708      0.000473760      0.000033397      0.000271275      0.000000000      0.000004657      0.000000000      0.000473757      0.000033398      0.000271276 
    21.500000000      0.000000000      0.330316012      0.668088786      0.000490987      0.000036092      0.000268185      0.000000000      0.000004675      0.000000000      0.000490985      0.000036092      0.000268186 
    22.000000000      0.000000000      0.330920487      0.667425331      0.000513399      0.000040250      0.000270925      0.000000000      0.000005036      0.000000000      0.000513397      0.000040250      0.000270926 
    22.500000000      0.000000000      0.329784901      0.668477166      0.000540913      0.000045923      0.000279331      0.000000000      0.000005600      0.000000000      0.000540910      0.000045924      0.000279332 
    23.000000000      0.000000000      0.326865924      0.671289810      0.000572854      0.000053167      0.000293078      0.000000000      0.000006069      0.000000000      0.000572852      0.000053168      0.000293078 
    23.500000000      0.000000000      0.323696537      0.674357388      0.000596604      0.000062141      0.000310769      0.000000000      0.000007048      0.000000000      0.000596602      0.000062142      0.000310769 
    24.000000000      0.000000000      0.322165402      0.675785366      0.000617881      0.000072651      0.000330315      0.000000000      0.000007540      0.000000000      0.000617880      0.000072651      0.000330314 
    24.500000000      0.000000000      0.323653575      0.674186550      0.000640084      0.000084834      0.000350979      0.000000000      0.000008083      0.000000000      0.000640084      0.000084834      0.000350977 
    25.000000000      0.000000000      0.328450866      0.669268771      0.000664178      0.000098720      0.000372936      0.000000000      0.000008695      0.000000000      0.000664179      0.000098720      0.000372934 
    25.500000000      0.000000000      0.335748964      0.661854897      0.000691017      0.000113576      0.000388854      0.000000000      0.000009245      0.000000000      0.000691018      0.000113575      0.000388853 
    26.000000000      0.000000000      0.343887049      0.653575601      0.000723195      0.000130448      0.000410029      0.000000000      0.000010007      0.000000000      0.000723196      0.000130447      0.000410028 
    26.500000000      0.000000000      0.351073455      0.646222722      0.000762519      0.000148808      0.000435162      0.000000000      0.000010847      0.000000000      0.000762520      0.000148807      0.000435162 
    27.000000000      0.000000000      0.355911310      0.641241506      0.000797329      0.000169283      0.000451100      0.000000000      0.000011761      0.000000000      0.000797329      0.000169282      0.000451101 
    27.500000000      0.000000000      0.357923902      0.639065878      0.000842287      0.000192517      0.000463938      0.000000000      0.000012735      0.000000000      0.000842287      0.000192516      0.000463940 
    28.000000000      0.000000000      0.357492102      0.639323258      0.000891797      0.000216164      0.000477517      0.000000000      0.000013683      0.000000000      0.000891796      0.000216163      0.000477520 
    28.500000000      0.000000000      0.355128942      0.641495517      0.000937283      0.000245148      0.000498087      0.000000000      0.000014502      0.000000000      0.000937282      0.000245148      0.000498091 
    29.000000000      0.000000000      0.350563412      0.645874580      0.000968463      0.000278207      0.000526659      0.000000000      0.000015348      0.000000000      0.000968462      0.000278207      0.000526663 
    29.500000000      0.000000000      0.343459648      0.652783722      0.000992578      0.000315603      0.000561964      0.000000000      0.000016335      0.000000000      0.000992577      0.000315604      0.000561969 
    30.000000000      0.000000000      0.332354453      0.663695152      0.001008399      0.000357480      0.000600516      0.000000000      0.000017599      0.000000000      0.001008399      0.000357481      0.000600521 
    30.500000000      0.000000000      0.317955639      0.677907133      0.001016035      0.000403502      0.000639589      0.000000000      0.000018973      0.000000000      0.001016035      0.000403502      0.000639593 
    31.000000000      0.000000000      0.303174923      0.692494247      0.001021760      0.000453891      0.000679581      0.000000000      0.000020361      0.000000000      0.001021761      0.000453893      0.000679583 
    31.500000000      0.000000000      0.291612388      0.703817975      0.001030692      0.000508569      0.000734749      0.000000000      0.000021613      0.000000000      0.001030694      0.000508570      0.000734751 
    32.000000000      0.000000000      0.285195448      0.710006125      0.001046209      0.000568432      0.000773175      0.000000000      0.000022790      0.000000000      0.001046211      0.000568434      0.000773176 
    32.500000000      0.000000000      0.282751249      0.712215723      0.001061048      0.000632878      0.000810761      0.000000000      0.000023649      0.000000000      0.001061049      0.000632879      0.000810763 
    33.000000000      0.000000000      0.281220832      0.713531671      0.001063182      0.000701894      0.000846459      0.000000000      0.000024424      0.000000000      0.001063182      0.000701895      0.000846461 
    33.500000000      0.000000000      0.278169731      0.716418810      0.001037822      0.000774888      0.000880387      0.000000000      0.000025263      0.000000000      0.001037821      0.000774889      0.000880390 
    34.000000000      0.000000000      0.273521237      0.720970226      0.000976365      0.000852478      0.000912690      0.000000000      0.000025469      0.000000000      0.000976363      0.000852478      0.000912694 
    34.500000000      0.000000000      0.268972473      0.725482668      0.000884859      0.000933462      0.000941392      0.000000000      0.000025430      0.000000000      0.000884857      0.000933462      0.000941396 
    35.000000000      0.000000000      0.265851272      0.728590851      0.000782336      0.001020931      0.000963117      0.000000000      0.000025106      0.000000000      0.000782334      0.001020931      0.000963121 
    35.500000000      0.000000000      0.263692797      0.730730505      0.000689248      0.001110228      0.000976601      0.000000000      0.000024540      0.000000000      0.000689246      0.001110228      0.000976606 
    36.000000000      0.000000000      0.261171459      0.733231683      0.000616484      0.001200400      0.000969675      0.000000000      0.000023737      0.000000000      0.000616483      0.001200400      0.000969680 
    36.500000000      0.000000000      0.257971043      0.736403257      0.000564626      0.001288116      0.000948651      0.000000000      0.000022908      0.000000000      0.000564625      0.001288117      0.000948657 
